,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Total_Income
0,LP001002,Male,No,0,Graduate,No,5849,0,,360,1,Urban,Y,"$5,849.00"
1,LP001003,Male,Yes,1,Graduate,No,4583,1508,128,360,1,Rural,N,"$6,091.00"
2,LP001005,Male,Yes,0,Graduate,Yes,3000,0,66,360,1,Urban,Y,"$3,000.00"
3,LP001006,Male,Yes,0,Not Graduate,No,2583,2358,120,360,1,Urban,Y,"$4,941.00"
4,LP001008,Male,No,0,Graduate,No,6000,0,141,360,1,Urban,Y,"$6,000.00"
5,LP001011,Male,Yes,2,Graduate,Yes,5417,4196,267,360,1,Urban,Y,"$9,613.00"
6,LP001013,Male,Yes,0,Not Graduate,No,2333,1516,95,360,1,Urban,Y,"$3,849.00"
7,LP001014,Male,Yes,3+,Graduate,No,3036,2504,158,360,0,Semiurban,N,"$5,540.00"
8,LP001018,Male,Yes,2,Graduate,No,4006,1526,168,360,1,Urban,Y,"$5,532.00"
9,LP001020,Male,Yes,1,Graduate,No,12841,10968,349,360,1,Semiurban,N,"$23,809.00"
10,LP001024,Male,Yes,2,Graduate,No,3200,700,70,360,1,Urban,Y,"$3,900.00"
11,LP001027,Male,Yes,2,Graduate,,2500,1840,109,360,1,Urban,Y,"$4,340.00"
12,LP001028,Male,Yes,2,Graduate,No,3073,8106,200,360,1,Urban,Y,"$11,179.00"
13,LP001029,Male,No,0,Graduate,No,1853,2840,114,360,1,Rural,N,"$4,693.00"
14,LP001030,Male,Yes,2,Graduate,No,1299,1086,17,120,1,Urban,Y,"$2,385.00"
15,LP001032,Male,No,0,Graduate,No,4950,0,125,360,1,Urban,Y,"$4,950.00"
16,LP001034,Male,No,1,Not Graduate,No,3596,0,100,240,,Urban,Y,"$3,596.00"
17,LP001036,Female,No,0,Graduate,No,3510,0,76,360,0,Urban,N,"$3,510.00"
18,LP001038,Male,Yes,0,Not Graduate,No,4887,0,133,360,1,Rural,N,"$4,887.00"
19,LP001041,Male,Yes,0,Graduate,,2600,3500,115,,1,Urban,Y,"$6,100.00"
20,LP001043,Male,Yes,0,Not Graduate,No,7660,0,104,360,0,Urban,N,"$7,660.00"
21,LP001046,Male,Yes,1,Graduate,No,5955,5625,315,360,1,Urban,Y,"$11,580.00"
22,LP001047,Male,Yes,0,Not Graduate,No,2600,1911,116,360,0,Semiurban,N,"$4,511.00"
23,LP001050,,Yes,2,Not Graduate,No,3365,1917,112,360,0,Rural,N,"$5,282.00"
24,LP001052,Male,Yes,1,Graduate,,3717,2925,151,360,,Semiurban,N,"$6,642.00"
25,LP001066,Male,Yes,0,Graduate,Yes,9560,0,191,360,1,Semiurban,Y,"$9,560.00"
26,LP001068,Male,Yes,0,Graduate,No,2799,2253,122,360,1,Semiurban,Y,"$5,052.00"
27,LP001073,Male,Yes,2,Not Graduate,No,4226,1040,110,360,1,Urban,Y,"$5,266.00"
28,LP001086,Male,No,0,Not Graduate,No,1442,0,35,360,1,Urban,N,"$1,442.00"
29,LP001087,Female,No,2,Graduate,,3750,2083,120,360,1,Semiurban,Y,"$5,833.00"
30,LP001091,Male,Yes,1,Graduate,,4166,3369,201,360,,Urban,N,"$7,535.00"
31,LP001095,Male,No,0,Graduate,No,3167,0,74,360,1,Urban,N,"$3,167.00"
32,LP001097,Male,No,1,Graduate,Yes,4692,0,106,360,1,Rural,N,"$4,692.00"
33,LP001098,Male,Yes,0,Graduate,No,3500,1667,114,360,1,Semiurban,Y,"$5,167.00"
34,LP001100,Male,No,3+,Graduate,No,12500,3000,320,360,1,Rural,N,"$15,500.00"
35,LP001106,Male,Yes,0,Graduate,No,2275,2067,,360,1,Urban,Y,"$4,342.00"
36,LP001109,Male,Yes,0,Graduate,No,1828,1330,100,,0,Urban,N,"$3,158.00"
37,LP001112,Female,Yes,0,Graduate,No,3667,1459,144,360,1,Semiurban,Y,"$5,126.00"
38,LP001114,Male,No,0,Graduate,No,4166,7210,184,360,1,Urban,Y,"$11,376.00"
39,LP001116,Male,No,0,Not Graduate,No,3748,1668,110,360,1,Semiurban,Y,"$5,416.00"
40,LP001119,Male,No,0,Graduate,No,3600,0,80,360,1,Urban,N,"$3,600.00"
41,LP001120,Male,No,0,Graduate,No,1800,1213,47,360,1,Urban,Y,"$3,013.00"
42,LP001123,Male,Yes,0,Graduate,No,2400,0,75,360,,Urban,Y,"$2,400.00"
43,LP001131,Male,Yes,0,Graduate,No,3941,2336,134,360,1,Semiurban,Y,"$6,277.00"
44,LP001136,Male,Yes,0,Not Graduate,Yes,4695,0,96,,1,Urban,Y,"$4,695.00"
45,LP001137,Female,No,0,Graduate,No,3410,0,88,,1,Urban,Y,"$3,410.00"
46,LP001138,Male,Yes,1,Graduate,No,5649,0,44,360,1,Urban,Y,"$5,649.00"
47,LP001144,Male,Yes,0,Graduate,No,5821,0,144,360,1,Urban,Y,"$5,821.00"
48,LP001146,Female,Yes,0,Graduate,No,2645,3440,120,360,0,Urban,N,"$6,085.00"
49,LP001151,Female,No,0,Graduate,No,4000,2275,144,360,1,Semiurban,Y,"$6,275.00"
50,LP001155,Female,Yes,0,Not Graduate,No,1928,1644,100,360,1,Semiurban,Y,"$3,572.00"
51,LP001157,Female,No,0,Graduate,No,3086,0,120,360,1,Semiurban,Y,"$3,086.00"
52,LP001164,Female,No,0,Graduate,No,4230,0,112,360,1,Semiurban,N,"$4,230.00"
53,LP001179,Male,Yes,2,Graduate,No,4616,0,134,360,1,Urban,N,"$4,616.00"
54,LP001186,Female,Yes,1,Graduate,Yes,11500,0,286,360,0,Urban,N,"$11,500.00"
55,LP001194,Male,Yes,2,Graduate,No,2708,1167,97,360,1,Semiurban,Y,"$3,875.00"
56,LP001195,Male,Yes,0,Graduate,No,2132,1591,96,360,1,Semiurban,Y,"$3,723.00"
57,LP001197,Male,Yes,0,Graduate,No,3366,2200,135,360,1,Rural,N,"$5,566.00"
58,LP001198,Male,Yes,1,Graduate,No,8080,2250,180,360,1,Urban,Y,"$10,330.00"
59,LP001199,Male,Yes,2,Not Graduate,No,3357,2859,144,360,1,Urban,Y,"$6,216.00"
60,LP001205,Male,Yes,0,Graduate,No,2500,3796,120,360,1,Urban,Y,"$6,296.00"
61,LP001206,Male,Yes,3+,Graduate,No,3029,0,99,360,1,Urban,Y,"$3,029.00"
62,LP001207,Male,Yes,0,Not Graduate,Yes,2609,3449,165,180,0,Rural,N,"$6,058.00"
63,LP001213,Male,Yes,1,Graduate,No,4945,0,,360,0,Rural,N,"$4,945.00"
64,LP001222,Female,No,0,Graduate,No,4166,0,116,360,0,Semiurban,N,"$4,166.00"
65,LP001225,Male,Yes,0,Graduate,No,5726,4595,258,360,1,Semiurban,N,"$10,321.00"
66,LP001228,Male,No,0,Not Graduate,No,3200,2254,126,180,0,Urban,N,"$5,454.00"
67,LP001233,Male,Yes,1,Graduate,No,10750,0,312,360,1,Urban,Y,"$10,750.00"
68,LP001238,Male,Yes,3+,Not Graduate,Yes,7100,0,125,60,1,Urban,Y,"$7,100.00"
69,LP001241,Female,No,0,Graduate,No,4300,0,136,360,0,Semiurban,N,"$4,300.00"
70,LP001243,Male,Yes,0,Graduate,No,3208,3066,172,360,1,Urban,Y,"$6,274.00"
71,LP001245,Male,Yes,2,Not Graduate,Yes,1875,1875,97,360,1,Semiurban,Y,"$3,750.00"
72,LP001248,Male,No,0,Graduate,No,3500,0,81,300,1,Semiurban,Y,"$3,500.00"
73,LP001250,Male,Yes,3+,Not Graduate,No,4755,0,95,,0,Semiurban,N,"$4,755.00"
74,LP001253,Male,Yes,3+,Graduate,Yes,5266,1774,187,360,1,Semiurban,Y,"$7,040.00"
75,LP001255,Male,No,0,Graduate,No,3750,0,113,480,1,Urban,N,"$3,750.00"
76,LP001256,Male,No,0,Graduate,No,3750,4750,176,360,1,Urban,N,"$8,500.00"
77,LP001259,Male,Yes,1,Graduate,Yes,1000,3022,110,360,1,Urban,N,"$4,022.00"
78,LP001263,Male,Yes,3+,Graduate,No,3167,4000,180,300,0,Semiurban,N,"$7,167.00"
79,LP001264,Male,Yes,3+,Not Graduate,Yes,3333,2166,130,360,,Semiurban,Y,"$5,499.00"
80,LP001265,Female,No,0,Graduate,No,3846,0,111,360,1,Semiurban,Y,"$3,846.00"
81,LP001266,Male,Yes,1,Graduate,Yes,2395,0,,360,1,Semiurban,Y,"$2,395.00"
82,LP001267,Female,Yes,2,Graduate,No,1378,1881,167,360,1,Urban,N,"$3,259.00"
83,LP001273,Male,Yes,0,Graduate,No,6000,2250,265,360,,Semiurban,N,"$8,250.00"
84,LP001275,Male,Yes,1,Graduate,No,3988,0,50,240,1,Urban,Y,"$3,988.00"
85,LP001279,Male,No,0,Graduate,No,2366,2531,136,360,1,Semiurban,Y,"$4,897.00"
86,LP001280,Male,Yes,2,Not Graduate,No,3333,2000,99,360,,Semiurban,Y,"$5,333.00"
87,LP001282,Male,Yes,0,Graduate,No,2500,2118,104,360,1,Semiurban,Y,"$4,618.00"
88,LP001289,Male,No,0,Graduate,No,8566,0,210,360,1,Urban,Y,"$8,566.00"
89,LP001310,Male,Yes,0,Graduate,No,5695,4167,175,360,1,Semiurban,Y,"$9,862.00"
90,LP001316,Male,Yes,0,Graduate,No,2958,2900,131,360,1,Semiurban,Y,"$5,858.00"
91,LP001318,Male,Yes,2,Graduate,No,6250,5654,188,180,1,Semiurban,Y,"$11,904.00"
92,LP001319,Male,Yes,2,Not Graduate,No,3273,1820,81,360,1,Urban,Y,"$5,093.00"
93,LP001322,Male,No,0,Graduate,No,4133,0,122,360,1,Semiurban,Y,"$4,133.00"
94,LP001325,Male,No,0,Not Graduate,No,3620,0,25,120,1,Semiurban,Y,"$3,620.00"
95,LP001326,Male,No,0,Graduate,,6782,0,,360,,Urban,N,"$6,782.00"
96,LP001327,Female,Yes,0,Graduate,No,2484,2302,137,360,1,Semiurban,Y,"$4,786.00"
97,LP001333,Male,Yes,0,Graduate,No,1977,997,50,360,1,Semiurban,Y,"$2,974.00"
98,LP001334,Male,Yes,0,Not Graduate,No,4188,0,115,180,1,Semiurban,Y,"$4,188.00"
99,LP001343,Male,Yes,0,Graduate,No,1759,3541,131,360,1,Semiurban,Y,"$5,300.00"
100,LP001345,Male,Yes,2,Not Graduate,No,4288,3263,133,180,1,Urban,Y,"$7,551.00"
101,LP001349,Male,No,0,Graduate,No,4843,3806,151,360,1,Semiurban,Y,"$8,649.00"
102,LP001350,Male,Yes,,Graduate,No,13650,0,,360,1,Urban,Y,"$13,650.00"
103,LP001356,Male,Yes,0,Graduate,No,4652,3583,,360,1,Semiurban,Y,"$8,235.00"
104,LP001357,Male,,,Graduate,No,3816,754,160,360,1,Urban,Y,"$4,570.00"
105,LP001367,Male,Yes,1,Graduate,No,3052,1030,100,360,1,Urban,Y,"$4,082.00"
106,LP001369,Male,Yes,2,Graduate,No,11417,1126,225,360,1,Urban,Y,"$12,543.00"
107,LP001370,Male,No,0,Not Graduate,,7333,0,120,360,1,Rural,N,"$7,333.00"
108,LP001379,Male,Yes,2,Graduate,No,3800,3600,216,360,0,Urban,N,"$7,400.00"
109,LP001384,Male,Yes,3+,Not Graduate,No,2071,754,94,480,1,Semiurban,Y,"$2,825.00"
110,LP001385,Male,No,0,Graduate,No,5316,0,136,360,1,Urban,Y,"$5,316.00"
111,LP001387,Female,Yes,0,Graduate,,2929,2333,139,360,1,Semiurban,Y,"$5,262.00"
112,LP001391,Male,Yes,0,Not Graduate,No,3572,4114,152,,0,Rural,N,"$7,686.00"
113,LP001392,Female,No,1,Graduate,Yes,7451,0,,360,1,Semiurban,Y,"$7,451.00"
114,LP001398,Male,No,0,Graduate,,5050,0,118,360,1,Semiurban,Y,"$5,050.00"
115,LP001401,Male,Yes,1,Graduate,No,14583,0,185,180,1,Rural,Y,"$14,583.00"
116,LP001404,Female,Yes,0,Graduate,No,3167,2283,154,360,1,Semiurban,Y,"$5,450.00"
117,LP001405,Male,Yes,1,Graduate,No,2214,1398,85,360,,Urban,Y,"$3,612.00"
118,LP001421,Male,Yes,0,Graduate,No,5568,2142,175,360,1,Rural,N,"$7,710.00"
119,LP001422,Female,No,0,Graduate,No,10408,0,259,360,1,Urban,Y,"$10,408.00"
120,LP001426,Male,Yes,,Graduate,No,5667,2667,180,360,1,Rural,Y,"$8,334.00"
121,LP001430,Female,No,0,Graduate,No,4166,0,44,360,1,Semiurban,Y,"$4,166.00"
122,LP001431,Female,No,0,Graduate,No,2137,8980,137,360,0,Semiurban,Y,"$11,117.00"
123,LP001432,Male,Yes,2,Graduate,No,2957,0,81,360,1,Semiurban,Y,"$2,957.00"
124,LP001439,Male,Yes,0,Not Graduate,No,4300,2014,194,360,1,Rural,Y,"$6,314.00"
125,LP001443,Female,No,0,Graduate,No,3692,0,93,360,,Rural,Y,"$3,692.00"
126,LP001448,,Yes,3+,Graduate,No,23803,0,370,360,1,Rural,Y,"$23,803.00"
127,LP001449,Male,No,0,Graduate,No,3865,1640,,360,1,Rural,Y,"$5,505.00"
128,LP001451,Male,Yes,1,Graduate,Yes,10513,3850,160,180,0,Urban,N,"$14,363.00"
129,LP001465,Male,Yes,0,Graduate,No,6080,2569,182,360,,Rural,N,"$8,649.00"
130,LP001469,Male,No,0,Graduate,Yes,20166,0,650,480,,Urban,Y,"$20,166.00"
131,LP001473,Male,No,0,Graduate,No,2014,1929,74,360,1,Urban,Y,"$3,943.00"
132,LP001478,Male,No,0,Graduate,No,2718,0,70,360,1,Semiurban,Y,"$2,718.00"
133,LP001482,Male,Yes,0,Graduate,Yes,3459,0,25,120,1,Semiurban,Y,"$3,459.00"
134,LP001487,Male,No,0,Graduate,No,4895,0,102,360,1,Semiurban,Y,"$4,895.00"
135,LP001488,Male,Yes,3+,Graduate,No,4000,7750,290,360,1,Semiurban,N,"$11,750.00"
136,LP001489,Female,Yes,0,Graduate,No,4583,0,84,360,1,Rural,N,"$4,583.00"
137,LP001491,Male,Yes,2,Graduate,Yes,3316,3500,88,360,1,Urban,Y,"$6,816.00"
138,LP001492,Male,No,0,Graduate,No,14999,0,242,360,0,Semiurban,N,"$14,999.00"
